id,name,grandslamFinals,grandSlamTitles,list
100437,Bjorn Borg,6,3,"('Roland Garros', 'Wimbledon', 'Roland Garros')"
100342,Vitas Gerulaitis,1,0,()
100581,John McEnroe,10,6,"('US Open', 'Wimbledon', 'US Open', 'Wimbledon', 'Wimbledon', 'US Open')"
100360,Brian Teacher,1,1,"('Australian Open',)"
100273,Kim Warwick,1,0,()
100656,Ivan Lendl,19,8,"('Roland Garros', 'US Open', 'Roland Garros', 'US Open', 'Roland Garros', 'US Open', 'Australian Open', 'Australian Open')"
100532,Johan Kriek,2,2,"('Australian Open', 'Australian Open')"
100445,Steve Denton,2,0,()
101062,Mats Wilander,11,7,"('Roland Garros', 'Australian Open', 'Australian Open', 'Roland Garros', 'Roland Garros', 'US Open', 'Australian Open')"
100282,Guillermo Vilas,1,0,()
100284,Jimmy Connors,4,3,"('Wimbledon', 'US Open', 'US Open')"
100676,Yannick Noah,1,1,"('Roland Garros',)"
100474,Chris Lewis,1,0,()
100529,Kevin Curren,2,0,()
101414,Boris Becker,10,6,"('Wimbledon', 'Wimbledon', 'Wimbledon', 'US Open', 'Australian Open', 'Australian Open')"
101222,Stefan Edberg,11,6,"('Australian Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'US Open')"
100944,Mikael Pernfors,1,0,()
101036,Miloslav Mecir,2,0,()
101138,Pat Cash,3,1,"('Wimbledon',)"
100936,Henri Leconte,1,0,()
102021,Michael Chang,4,1,"('Roland Garros',)"
100653,Andres Gomez,1,1,"('Roland Garros',)"
101736,Andre Agassi,15,8,"('Wimbledon', 'US Open', 'Australian Open', 'Roland Garros', 'US Open', 'Australian Open', 'Australian Open', 'Australian Open')"
101948,Pete Sampras,18,14,"('US Open', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'US Open', 'US Open', 'Australian Open', 'Wimbledon', 'Wimbledon', 'Wimbledon', 'Wimbledon', 'US Open')"
101793,Jim Courier,7,4,"('Roland Garros', 'Australian Open', 'Roland Garros', 'Australian Open')"
101529,Michael Stich,3,1,"('Wimbledon',)"
101434,Petr Korda,2,1,"('Australian Open',)"
101964,Goran Ivanisevic,4,1,"('Wimbledon',)"
101843,Sergi Bruguera,3,2,"('Roland Garros', 'Roland Garros')"
101611,Cedric Pioline,2,0,()
101774,Todd Martin,2,0,()
102238,Alberto Berasategui,1,0,()
101404,Thomas Muster,1,1,"('Roland Garros',)"
102338,Yevgeny Kafelnikov,3,2,"('Roland Garros', 'Australian Open')"
101990,Richard Krajicek,1,1,"('Wimbledon',)"
101613,Malivai Washington,1,0,()
102845,Carlos Moya,2,1,"('Roland Garros',)"
102856,Gustavo Kuerten,3,3,"('Roland Garros', 'Roland Garros', 'Roland Garros')"
102158,Patrick Rafter,4,2,"('US Open', 'US Open')"
102257,Greg Rusedski,1,0,()
102701,Marcelo Rios,1,0,()
102374,Alex Corretja,2,0,()
102882,Mark Philippoussis,2,0,()
102358,Thomas Enqvist,1,0,()
102446,Andrei Medvedev,1,0,()
102796,Magnus Norman,1,0,()
103498,Marat Safin,4,2,"('US Open', 'Australian Open')"
103720,Lleyton Hewitt,4,2,"('US Open', 'Wimbledon')"
103096,Arnaud Clement,1,0,()
102610,Albert Costa,1,1,"('Roland Garros',)"
103507,Juan Carlos Ferrero,3,1,"('Roland Garros',)"
103900,David Nalbandian,1,0,()
102563,Thomas Johansson,1,1,"('Australian Open',)"
103280,Martin Verkerk,1,0,()
103819,Roger Federer,31,20,"('Wimbledon', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'US Open', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'US Open', 'Roland Garros', 'Wimbledon', 'Australian Open', 'Wimbledon', 'Australian Open', 'Wimbledon', 'Australian Open')"
104053,Andy Roddick,5,1,"('US Open',)"
102783,Rainer Schuettler,1,0,()
103292,Gaston Gaudio,1,1,"('Roland Garros',)"
103909,Guillermo Coria,1,0,()
104745,Rafael Nadal,28,20,"('Roland Garros', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'Wimbledon', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Roland Garros', 'Roland Garros', 'Roland Garros', 'US Open', 'Roland Garros', 'Roland Garros', 'US Open', 'Roland Garros', 'Roland Garros', 'US Open', 'Roland Garros')"
103264,Mariano Puerta,1,0,()
104571,Marcos Baghdatis,1,0,()
104925,Novak Djokovic,27,17,"('Australian Open', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Australian Open', 'Wimbledon', 'Australian Open', 'Wimbledon', 'US Open', 'Australian Open', 'Roland Garros', 'Wimbledon', 'US Open', 'Australian Open', 'Wimbledon', 'Australian Open')"
103602,Fernando Gonzalez,1,0,()
104918,Andy Murray,11,3,"('US Open', 'Wimbledon', 'Wimbledon')"
104542,Jo-Wilfried Tsonga,1,0,()
104417,Robin Soderling,2,0,()
105223,Juan Martin del Potro,2,1,"('US Open',)"
104607,Tomas Berdych,1,0,()
103970,David Ferrer,1,0,()
104527,Stan Wawrinka,4,3,"('Australian Open', 'Roland Garros', 'US Open')"
105227,Marin Cilic,3,1,"('US Open',)"
105453,Kei Nishikori,1,0,()
105683,Milos Raonic,1,0,()
104731,Kevin Anderson,2,0,()
106233,Dominic Thiem,3,0,()
106421,Daniil Medvedev,1,0,()
